Variable 1,Variable 2,Pearson r,Pearson p,Spearman rho,Spearman p
IMD Score,Infra Density (m/km²),0.092,0.0001,0.099,0.0
IMD Score,Walking (%),0.582,0.0,0.711,0.0
Infra Density (m/km²),Walking (%),0.157,0.0,0.114,0.0
Active Travel (%),IMD Score,0.595,0.0,0.709,0.0
Active Travel (%),Infra Density (m/km²),0.191,0.0,0.148,0.0
Active Travel (%),Cycling (%),0.46,0.0,0.499,0.0
Active Travel (%),Walking (%),0.969,0.0,0.962,0.0
Cycling (%),IMD Score,0.253,0.0,0.312,0.0
Cycling (%),Infra Density (m/km²),0.192,0.0,0.171,0.0
Cycling (%),Walking (%),0.225,0.0,0.294,0.0
